2025-03-18 09:00:07,646 - INFO - スキャン結果: {'barcode_info': '0000296226', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:00:07'}
2025-03-18 09:44:01,632 - INFO - スキャン結果: {'barcode_info': '0000287271', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:01'}
2025-03-18 09:44:02,035 - INFO - スキャン結果: {'barcode_info': '0000287277', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:02'}
2025-03-18 09:44:02,815 - INFO - スキャン結果: {'barcode_info': '0000296226', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:02'}
2025-03-18 09:44:03,232 - INFO - スキャン結果: {'barcode_info': '0000296080', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:03'}
2025-03-18 09:44:03,665 - INFO - スキャン結果: {'barcode_info': '0000296078', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:03'}
2025-03-18 09:44:04,469 - INFO - スキャン結果: {'barcode_info': '0000296079', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:04'}
2025-03-18 09:44:05,165 - INFO - スキャン結果: {'barcode_info': '0000296077', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 09:44:05'}
2025-03-18 10:02:38,855 - INFO - スキャン結果: {'barcode_info': '0000287277', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:02:38'}
2025-03-18 10:02:41,925 - INFO - スキャン結果: {'barcode_info': '0000287271', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:02:41'}
2025-03-18 10:02:43,816 - INFO - スキャン結果: {'barcode_info': '0000296226', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:02:43'}
2025-03-18 10:02:44,431 - INFO - スキャン結果: {'barcode_info': '0000296080', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:02:44'}
2025-03-18 10:02:50,615 - INFO - スキャン結果: {'barcode_info': '0000296077', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:02:50'}
2025-03-18 10:03:20,286 - INFO - スキャン結果: {'barcode_info': '0000296078', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:03:20'}
2025-03-18 10:03:30,558 - INFO - スキャン結果: {'barcode_info': '0000296079', 'construction_number': '0000', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:03:30'}
2025-03-18 10:36:48,120 - INFO - スキャン結果: {'barcode_info': '0000287271', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:48'}
2025-03-18 10:36:48,700 - INFO - スキャン結果: {'barcode_info': '0000296226', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:48'}
2025-03-18 10:36:49,615 - INFO - スキャン結果: {'barcode_info': '0000287277', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:49'}
2025-03-18 10:36:51,921 - INFO - スキャン結果: {'barcode_info': '0000296080', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:51'}
2025-03-18 10:36:53,138 - INFO - スキャン結果: {'barcode_info': '0000296078', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:53'}
2025-03-18 10:36:54,117 - INFO - スキャン結果: {'barcode_info': '0000296079', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:54'}
2025-03-18 10:36:54,977 - INFO - スキャン結果: {'barcode_info': '0000296077', 'construction_number': '4656', 'location': 'カブト1F', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:36:54'}
2025-03-18 10:59:20,067 - INFO - スキャン結果: {'barcode_info': '0000287271', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:20'}
2025-03-18 10:59:20,077 - INFO - スキャン結果: {'barcode_info': '0000287277', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:20'}
2025-03-18 10:59:20,998 - INFO - スキャン結果: {'barcode_info': '0000296226', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:20'}
2025-03-18 10:59:21,484 - INFO - スキャン結果: {'barcode_info': '0000296080', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:21'}
2025-03-18 10:59:22,058 - INFO - スキャン結果: {'barcode_info': '0000296078', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:22'}
2025-03-18 10:59:22,915 - INFO - スキャン結果: {'barcode_info': '0000296079', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:22'}
2025-03-18 10:59:23,794 - INFO - スキャン結果: {'barcode_info': '0000296077', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 10:59:23'}
2025-03-18 11:28:06,260 - INFO - スキャン結果: {'barcode_info': '0000287271', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 11:28:06'}
2025-03-18 11:28:06,276 - INFO - スキャン結果: {'barcode_info': '0000287277', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 11:28:06'}
2025-03-18 11:28:07,383 - INFO - スキャン結果: {'barcode_info': '0000296226', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 11:28:07'}
2025-03-18 11:28:07,901 - INFO - スキャン結果: {'barcode_info': '0000296080', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 11:28:07'}
2025-03-18 11:28:08,313 - INFO - スキャン結果: {'barcode_info': '0000296078', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 11:28:08'}
2025-03-18 11:28:09,018 - INFO - スキャン結果: {'barcode_info': '0000296079', 'construction_number': '_4656_', 'location': '_K1_', 'barcode_type': 'CODE39', 'timestamp': '2025-03-18 11:28:09'}
