発注伝票№,製番,製品№,ﾕﾆｯﾄ№,部品№,品番,図番,改訂,品名,形式寸法,発注日,納期,回答納期,確定納期,納入完了日,検収完了日,手配,仕入先,発注数,納入数,発注残数,検収累計数,未検収数,納入場所,備考,品番分類
302003,3804-00,3804-00,B,#700,,XAL607-0726A,,ﾛｰﾗｰBKT L1,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/5/8 0:00,,外注加工,田中精機㈲,1,1,0,0,1,,,部品
302004,3804-00,3804-00,B,#700,,XAL607-0727A,,ﾛｰﾗｰBKT R2,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/9 0:00,2025/4/9 0:00,外注加工,田中精機㈲,1,1,0,1,0,,,部品
302005,3804-00,3804-00,B,#700,,XAL607-0728A,,ﾛｰﾗｰBKT L2,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/9 0:00,2025/4/9 0:00,外注加工,田中精機㈲,1,1,0,1,0,,,部品
302006,3804-00,3804-00,B,#700,,XAL607-0729(K-1),,ｽﾄｯﾊﾟBKT,,2025/3/17 0:00,2025/5/12 0:00,,2025/5/12 0:00,2025/4/3 0:00,2025/4/3 0:00,外注加工,田中精機㈲,2,2,0,2,0,,,部品
302007,3804-00,3804-00,B,#200,,XAL607-0231A,,ﾌﾟｰﾘｶﾊﾞｰ,,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,2,2,0,0,2,,,部品
302008,3804-00,3804-00,B,#800,,XAL607-0812,,側面ｶﾊﾞｰ,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,4,4,0,0,4,,,部品
302009,3804-00,3804-00,B,#800,,XAL607-0813,,側面ｶﾊﾞｰ,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302010,3804-00,3804-00,B,#800,,XAL607-0814,,ﾌﾞﾚｰｶｰBKT,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302011,3804-00,3804-00,B,#800,,XAL607-0821,,正面扉,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,2,2,0,0,2,,,部品
302012,3804-00,3804-00,B,#800,,XAL607-0822,,ｽﾍﾟｰｻｰ,,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,4,4,0,0,4,,,部品
302013,3804-00,3804-00,B,#800,,XAL607-0823,,板ﾅｯﾄ,,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,4,4,0,0,4,,,部品
302014,3804-00,3804-00,B,#800,,XAL607-0824,,側面ｶﾊﾞｰﾌｧﾝ付,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302015,3804-00,3804-00,B,#900,,XAL607-0910C,,操作ﾊﾟﾈﾙ,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302016,3804-00,3804-00,B,#900,,XAL607-0919,,背面ｶﾊﾞｰ,塗装含む,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302017,3804-00,3804-00,B,#1000,,XAL607-1010A,,空圧機器ﾊﾟﾈﾙ1,,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302018,3804-00,3804-00,B,#1000,,XAL607-1011A,,空圧機器ﾊﾟﾈﾙ2,,2025/3/17 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/14 0:00,2025/5/13 0:00,,外注加工,㈱ﾕ-ｶﾘ工業,1,1,0,0,1,,,部品
302019,3804-00,3804-00,B,#400,,XAL607-0425(K-1),,ﾅｯﾄｽﾃｰ,※ﾅｯﾄ支給(MR90X2.0P),2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302020,3804-00,3804-00,B,#400,,XAL607-0426,,ﾍﾞｱﾘﾝｸﾞｹｰｽ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
302021,3804-00,3804-00,B,#400,,XAL607-0427,,ﾍﾞｱﾘﾝｸﾞｵｻｴ,,2025/3/17 0:00,2025/5/8 0:00,,2025/5/8 0:00,2025/5/9 0:00,,外注加工,㈱福東製作所,1,1,0,0,1,,,部品
